specie,nest_id,folder,photo,viaje,date,true_inc_day,start_time,final_time,duration,duration_min,duration_h,sex,event,nocturnal_incubation,nocturnal_incubation,,,note,note1
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),1287-1356,1,09-Sep-13,2,10:00:00,11:09:00,1:09:00,69,1.15,m,off,N,,,,,
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),1356-1418,,09-Sep-13,2,11:09:00,12:11:00,1:02:00,62,1.033333333,f,on,N,,,,,
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),1418-1509,2,09-Sep-13,2,12:11:00,13:36:00,1:25:00,85,1.416666667,f,off,N,,,,,
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),1503-1509,,09-Sep-13,2,13:35:19,13:36:00,0:00:41,0.68,0.011333333,m,visita,N,,,,,
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),1509-1518,,09-Sep-13,2,13:36:00,13:45:00,0:09:00,9,0.15,m,on,N,,,,,
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),1518-1576,2,09-Sep-13,2,13:45:00,14:41:00,0:56:00,56,0.933333333,m,off,N,,,,,
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),1574-1613,,09-Sep-13,2,14:41:00,15:20:00,0:39:00,39,0.65,m,on,N,,,,,
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),1613-1728,3,09-Sep-13,2,15:20:00,17:15:00,1:55:00,115,1.916666667,m,off,N,,,,,
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),1728-2473,,09-Sep-13,2,17:15:00,0:00:00,6:45:00,405,6.75,f,on,Y,,,,incubación nocturna,
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),1728-2473,,10-Sep-13,3,0:00:00,5:40:00,5:40:00,340,5.666666667,f,on,Y,,,,incubación nocturna,changed the date from 9 to 10 sept must be an error
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),2473-2517,3,10-Sep-13,3,5:40:00,6:24:00,0:44:00,44,0.733333333,f,off,N,,,,,changed the date from 9 to 10 sept must be an error
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),2516-2517,,10-Sep-13,3,6:23:00,6:24:00,0:01:00,1,0.016666667,m,visita,N,,,,,
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),2517-2546,,10-Sep-13,3,6:24:00,6:53:00,0:29:00,29,0.483333333,m,on,N,,,,,changed the date from 9 to 10 sept must be an error
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),2546-2616,4,10-Sep-13,3,6:53:00,8:03:00,1:10:00,70,1.166666667,m,off,N,,,,,changed the date from 9 to 10 sept must be an error
