specie,nest_id,folder,photo,viaje,date,hour,hour_standard,start_time,final_time,duration,duration_min,duration_h,sex,event,nocturnal_incubation,true_day,note,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0516-0526,,04-Sep-14,39,16,14:54:34,14:55:00,0:00:26,0.45,0.0075,u,Feeding,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0528-0539,,04-Sep-14,39,16,14:57:00,14:58:00,0:01:00,1,0.016666667,u,Feeding,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0541-0543,,04-Sep-14,40,17,15:00:00,15:02:00,0:02:00,2,0.033333333,f,Feeding,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0543-0560,,04-Sep-14,,17,15:02:00,15:19:00,0:17:00,17,0.283333333,f,brooding,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0560-0571,8,04-Sep-14,,17,15:19:00,15:30:00,0:11:00,11,0.183333333,f,off,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0571-0578,,04-Sep-14,,17,15:30:00,15:37:00,0:07:00,7,0.116666667,f,brooding,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0578-0600,9,04-Sep-14,,17,15:37:00,15:49:00,0:12:00,12,0.2,f,off,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0580-0590,,04-Sep-14,40,17,15:38:26,15:39:00,0:00:34,0.6,0.01,u,Feeding,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0600-0622,,04-Sep-14,,17,15:49:00,16:11:00,0:22:00,22,0.366666667,f,brooding,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0622-0627,10,04-Sep-14,,18,16:11:00,16:16:00,0:05:00,5,0.083333333,f,off,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0624-0626,,04-Sep-14,41,18,16:13:00,16:15:00,0:02:00,2,0.033333333,u,Feeding,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0627-0654,,04-Sep-14,,18,16:16:00,16:43:00,0:27:00,27,0.45,f,brooding,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0654-0660,11,04-Sep-14,,18,16:43:00,16:49:00,0:06:00,6,0.1,f,off,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0656-0658,,04-Sep-14,41,18,16:45:00,16:47:00,0:02:00,2,0.033333333,u,Feeding,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0658-0660,,04-Sep-14,41,18,16:47:00,16:49:00,0:02:00,2,0.033333333,m,Feeding,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0660-0681,,04-Sep-14,,18,16:49:00,17:10:00,0:21:00,21,0.35,m,brooding,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0681-0682,12,04-Sep-14,,19,17:10:00,17:11:00,0:01:00,1,0.016666667,m,off,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0682-1436,,04-Sep-14,,19,17:11:00,0:00:00,6:49:00,409,6.816666667,f,brooding,Y,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0682-1436,,05-Sep-14,,,0:00:00,5:45:00,5:45:00,345,5.75,f,brooding,Y,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1436-1468,1,05-Sep-14,,20,5:45:00,6:07:00,0:22:00,22,0.366666667,f,off,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1440-1442,,05-Sep-14,54,20,5:49:00,5:51:00,0:02:00,2,0.033333333,m,Feeding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1444-1446,,05-Sep-14,54,20,5:53:00,5:55:00,0:02:00,2,0.033333333,f,Feeding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1446-1457,,05-Sep-14,,20,5:55:00,6:05:54,0:10:54,10.95,0.1825,f,brooding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1457-1468,,05-Sep-14,55,21,6:05:54,6:07:00,0:01:06,1.1,0.018333333,m,Feeding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1468-1475,,05-Sep-14,,21,6:07:00,6:14:00,0:07:00,7,0.116666667,m,brooding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1475-1476,2,05-Sep-14,,21,6:14:00,6:15:00,0:01:00,1,0.016666667,m,off,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1476-1481,,05-Sep-14,,21,6:15:00,6:20:00,0:05:00,5,0.083333333,f,brooding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1481-1490,,05-Sep-14,,21,6:20:00,6:29:00,0:09:00,9,0.15,f,off,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1486-1488,,05-Sep-14,55,21,6:25:00,6:27:00,0:02:00,2,0.033333333,f,Feeding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1490-1509,,05-Sep-14,,21,6:29:00,6:48:00,0:19:00,19,0.316666667,m,brooding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1509-1510,3,05-Sep-14,,21,6:48:00,6:49:00,0:01:00,1,0.016666667,m,off,N,4,,,
